Finished Step 6700 | Learning Rate: 0.000408 | Train Loss: 1.3525 | Validation Loss: 1.5440
Finished Step 6750 | Learning Rate: 0.000402 | Train Loss: 1.3522 | Validation Loss: 1.5163
Finished Step 6800 | Learning Rate: 0.000396 | Train Loss: 1.3482 | Validation Loss: 1.5331
Finished Step 6850 | Learning Rate: 0.000391 | Train Loss: 1.3515 | Validation Loss: 1.5257
Finished Step 6900 | Learning Rate: 0.000385 | Train Loss: 1.3480 | Validation Loss: 1.5276
Finished Step 6950 | Learning Rate: 0.000380 | Train Loss: 1.3459 | Validation Loss: 1.5183
Finished Step 7000 | Learning Rate: 0.000374 | Train Loss: 1.3505 | Validation Loss: 1.5426
Finished Step 7050 | Learning Rate: 0.000369 | Train Loss: 1.3440 | Validation Loss: 1.5324
Finished Step 7100 | Learning Rate: 0.000364 | Train Loss: 1.3476 | Validation Loss: 1.5126
Finished Step 7150 | Learning Rate: 0.000359 | Train Loss: 1.3464 | Validation Loss: 1.5220
Finished Step 7200 | Learning Rate: 0.000354 | Train Loss: 1.3427 | Validation Loss: 1.5476
Finished Step 7250 | Learning Rate: 0.000348 | Train Loss: 1.3429 | Validation Loss: 1.5312
Finished Step 7300 | Learning Rate: 0.000343 | Train Loss: 1.3432 | Validation Loss: 1.5473
Finished Step 7350 | Learning Rate: 0.000339 | Train Loss: 1.3431 | Validation Loss: 1.5278
Finished Step 7400 | Learning Rate: 0.000334 | Train Loss: 1.3417 | Validation Loss: 1.5565
Finished Step 7450 | Learning Rate: 0.000329 | Train Loss: 1.3384 | Validation Loss: 1.5486
Finished Step 7500 | Learning Rate: 0.000324 | Train Loss: 1.3402 | Validation Loss: 1.5108
Finished Step 7550 | Learning Rate: 0.000319 | Train Loss: 1.3387 | Validation Loss: 1.5424
Finished Step 7600 | Learning Rate: 0.000315 | Train Loss: 1.3384 | Validation Loss: 1.5477
Finished Step 7650 | Learning Rate: 0.000310 | Train Loss: 1.3403 | Validation Loss: 1.5351
Finished Step 7700 | Learning Rate: 0.000306 | Train Loss: 1.3345 | Validation Loss: 1.5565
Finished Step 7750 | Learning Rate: 0.000302 | Train Loss: 1.3342 | Validation Loss: 1.5233
Finished Step 7800 | Learning Rate: 0.000297 | Train Loss: 1.3353 | Validation Loss: 1.5406
Finished Step 7850 | Learning Rate: 0.000293 | Train Loss: 1.3383 | Validation Loss: 1.5278
Finished Step 7900 | Learning Rate: 0.000289 | Train Loss: 1.3352 | Validation Loss: 1.5355
